"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
13,30000,2,2,3,149000,11.9117015849276,1,2307.69230769231,65
4,33145,2,1,3,6e+05,13.3046849341983,0,8286.25,101
13,60000,2,1,3,220000,12.3013828253345,0,4615.38461538462,319
7,61000,2,2,1,1150000,13.9552725003394,0,8714.28571428571,130
10,120000,1,2,1,425000,12.9598444479066,0,12000,199
8,87000,2,1,1,1050000,13.8643007221337,0,10875,178
2,38000,2,1,3,1040000,13.8547312711176,0,19000,116
7,55000,1,2,3,1011000,13.8264504980026,0,7857.14285714286,130
5,35000,2,1,1,1145000,13.9509151949705,0,7000,90
13,82000,1,2,3,299000,12.6081988523728,0,6307.69230769231,74
5,65000,1,1,1,1400000,14.1519827945855,0,13000,366
9,90000,2,1,1,575000,13.2621253197795,0,10000,303
4,49000,1,1,3,4800000,15.3841264758781,1,12250,247
